Time	Volt
34464	197
34487	221
34510	221
34533	224
34556	184
34579	205
34602	206
34625	200
34652	211
34675	218
34698	215
34721	188
34744	205
34767	222
34790	214
34813	218
34836	215
34866	217
34889	227
34912	231
34935	255
34967	253
34990	248
35013	239
35036	268
35059	224
35082	198
35105	275
35128	263
35151	308
35174	346
35197	377
35220	382
35243	398
35266	400
35289	403
35312	397
35335	396
35358	362
35381	345
35404	382
35427	392
35450	407
35473	406
35496	408
35519	413
35542	406
35565	413
35588	410
35611	407
35634	410
35657	414
35680	388
35703	386
35726	395
35753	398
35776	399
35799	404
35822	407
35845	406
35868	404
35891	405
35914	398
35937	403
35960	410
35983	374
36006	390
36029	399
36052	404
36075	405
36098	399
36121	407
36144	399
36167	399
36190	361
36213	378
36236	395
36259	396
36282	373
36305	380
36328	397
36351	399
36374	398
36397	401
36420	405
36443	368
36466	385
36489	393
36512	403
36535	407
36558	413
36581	398
36604	401
36627	397
36650	400
36673	406
36696	407
36719	401
36742	409
36765	404
36788	409
36811	399
36831	401
36854	401
36877	399
36900	405
36923	398
36946	404
36969	409
36992	406
37015	412
37038	405
37061	409
37084	409
37107	406
37130	377
37153	388
37176	408
37199	402
37222	408
37245	407
37268	404
37291	413
37314	401
37337	403
37360	393
37383	402
37406	412
37429	409
37452	404
37475	402
37498	400
37521	404
37544	403
37567	408
37590	371
37613	387
37636	396
37659	398
37682	405
37705	403
37735	402
37758	404
37781	370
37804	361
37836	383
37859	396
37882	403
37909	401
37932	403
37955	403
37978	415
38001	406
38024	377
38047	380
38070	392
38093	406
38116	409
38139	404
38162	408
38185	404
38208	412
38231	403
38254	411
38277	408
38300	411
38323	406
38346	407
38369	405
38392	405
38415	415
38438	407
38461	366
38484	391
38507	391
38530	402
38553	399
38576	407
38599	407
38622	406
38645	412
38668	375
38691	388
38714	391
38737	397
38760	407
38783	406
38806	409
38829	407
38852	404
38875	412
38898	403
38921	403
38944	404
38967	400
38994	368
39017	387
39040	397
39063	399
39086	401
39109	396
39132	398
39155	399
39178	398
39201	410
39224	407
39247	408
39270	405
39293	403
39316	408
39339	401
39362	407
39385	395
39408	398
39431	405
39454	396
39477	402
39500	362
39523	384
39546	393
39569	396
39592	409
39615	406
39638	407
39661	404
39684	398
39707	409
39730	402
39753	409
39776	397
39799	402
39822	403
39845	397
39868	402
39891	404
39914	410
39937	411
39960	402
39983	378
40006	394
40029	374
40056	389
40079	401
40102	361
40125	380
40148	387
40171	396
40194	365
40217	380
40240	403
40263	402
40286	403
40309	408
40332	400
40355	405
40378	406
40401	413
40424	367
40447	379
40470	395
40493	391
40516	402
40539	400
40562	403
40592	411
40615	398
40638	400
40661	404
40694	378
40717	385
40740	391
40763	401
40786	400
40809	409
40832	407
40855	414
40878	411
40901	400
40924	403
40947	401
40970	408
40993	405
41016	407
41039	407
41062	399
41085	398
41108	402
41131	401
41158	403
41181	406
41204	401
41227	408
41250	384
41273	367
41296	386
41319	388
41342	402
41365	401
41388	403
41411	407
41434	403
41457	410
41480	339
41503	371
